diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
-,GAQLD425416843,55,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425416843,55,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425144555,23,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144555,23,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425797731,215,RED HILL ROAD,UNIT 1,150.65698830,-26.70765911,RED HILL,4413,QLD,2
+,GAQLD425797731,215,RED HILL ROAD,UNIT 1,150.65698830,-26.70765911,RED HILL,4877,QLD,2
-,GAWA_148032099,25B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148032099,25B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148026407,18,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148026407,18,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GANSW718460458,61A,KOOKABURRA STREET,,151.38157501,-33.46369681,KINCUMBER,2251,NSW,2
+,GANSW718460458,61A-A,KOOKABURRA STREET,,151.38157501,-33.46369681,KINCUMBER,2251,NSW,2
-,GANSW718461781,36B,MARRIL ROAD,,151.35321757,-33.39067702,NIAGARA PARK,2250,NSW,2
+,GANSW718461781,36B-B,MARRIL ROAD,,151.35321757,-33.39067702,NIAGARA PARK,2250,NSW,2
-,GAQLD425416828,10,MAP ROAD,,142.19132521,-9.95415833,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425416828,10,MAP ROAD,,142.19132521,-9.95415833,MABUIAG ISLAND,,QLD,4
-,GAWA_161040960,15,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_161040960,15,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148013628,31B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148013628,31B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAQLD425491092,9,ESPLANADE,,142.18732880,-9.95946941,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425491092,9,ESPLANADE,,142.18732880,-9.95946941,MABUIAG ISLAND,,QLD,4
-,GANSW718460472,25A,KOURUNG STREET,,151.32779638,-33.52008814,ETTALONG BEACH,2257,NSW,2
+,GANSW718460472,25A-A,KOURUNG STREET,,151.32779638,-33.52008814,ETTALONG BEACH,2257,NSW,2
-,GANSW718478896,15A,NARARA CREEK ROAD,,151.33485350,-33.40640991,NARARA,2250,NSW,2
+,GANSW718478896,15A-A,NARARA CREEK ROAD,,151.33485350,-33.40640991,NARARA,2250,NSW,2
-,GAWA_148009901,5,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148009901,5,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148029186,1,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148029186,1,GASCOYNE COURT,UNIT 4,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GAQLD425144580,61,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144580,61,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425797136,LOT 176,OLD MAN LAGOON ROAD,,150.69292872,-26.69069771,RED HILL,4413,QLD,2
+,GAQLD425797136,LOT 176,OLD MAN LAGOON ROAD,,150.69292872,-26.69069771,RED HILL,4877,QLD,2
-,GANSW718001302,79,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,2787,NSW,4
+,GANSW718001302,79,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,,NSW,4
-,GAQLD425144664,2B,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425144664,2B,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425795319,672,HOLMES ROAD,,150.70122398,-26.67259216,RED HILL,4413,QLD,2
+,GAQLD425795319,672,HOLMES ROAD,,150.70122398,-26.67259216,RED HILL,4877,QLD,2
-,GAQLD425144548,17,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144548,17,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAWA_148032109,19A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148032109,19A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148009896,5,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148009896,5,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GASA_425629980,LOT 242,POINT LOWLY ROAD,,137.67694764,-32.94439118,CULTANA,5700,SA,2
+,GASA_425629980,LOT 242,POINT LOWLY ROAD,,137.67694764,-32.94439118,CULTANA,5601,SA,2
-,GANSW718456833,1A,DAY STREET,,151.35565482,-33.40542368,WYOMING,2250,NSW,2
+,GANSW718456833,1A-A,DAY STREET,,151.35565482,-33.40542368,WYOMING,2250,NSW,2
-,GAQLD720182861,LOT 5253,ELLAVALE ROAD,,142.00215638,-18.12210828,CORALIE,4871,QLD,4
+,GAQLD720182861,LOT 5253,ELLAVALE ROAD,,142.00215638,-18.12210828,CORALIE,,QLD,4
-,GAQLD719302948,39,TABONE STREET,,150.73560681,-23.13837271,YEPPOON,4703,QLD,2
+,GAQLD719302948,39-A,TABONE STREET,,150.73560681,-23.13837271,YEPPOON,4703,QLD,2
-,GAQLD425344146,102,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425344146,102,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GANSW718456012,125A,CARRINGTON STREET,,151.32851523,-33.39957120,NARARA,2250,NSW,2
+,GANSW718456012,125A-A,CARRINGTON STREET,,151.32851523,-33.39957120,NARARA,2250,NSW,2
-,GANSW718456978,45A,DELAWARE ROAD,,151.35374814,-33.38108587,NIAGARA PARK,2250,NSW,2
+,GANSW718456978,45A-A,DELAWARE ROAD,,151.35374814,-33.38108587,NIAGARA PARK,2250,NSW,2
-,GANSW718458089,85A,FOUNTAINS ROAD,,151.33032403,-33.39769983,NARARA,2250,NSW,2
+,GANSW718458089,85A-A,FOUNTAINS ROAD,,151.33032403,-33.39769983,NARARA,2250,NSW,2
-,GAQLD425416831,16,MAP ROAD,,142.19132521,-9.95415833,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425416831,16,MAP ROAD,,142.19132521,-9.95415833,MABUIAG ISLAND,,QLD,4
-,GAQLD425804907,575,MOUNT SIBLEY ROAD,,151.96608070,-27.82284564,ASCOT,4359,QLD,4
+,GAQLD425804907,575,MOUNT SIBLEY ROAD,,151.96608070,-27.82284564,ASCOT,4875,QLD,4
-,GANSW718567915,2A,ULMARRA ROAD,,151.47010635,-33.40374181,FORRESTERS BEACH,2260,NSW,2
+,GANSW718567915,2A-A,ULMARRA ROAD,,151.47010635,-33.40374181,FORRESTERS BEACH,2260,NSW,2
-,GAQLD425796189,LOT 3,LITHGOWS ROAD,,150.61965009,-26.67022173,RED HILL,4413,QLD,2
+,GAQLD425796189,LOT 3,LITHGOWS ROAD,,150.61965009,-26.67022173,RED HILL,4877,QLD,2
-,GANSW718461028,28A,LUSHINGTON STREET,,151.35173570,-33.43329102,EAST GOSFORD,2250,NSW,2
+,GANSW718461028,28A-A,LUSHINGTON STREET,,151.35173570,-33.43329102,EAST GOSFORD,2250,NSW,2
-,GAQLD721134701,172,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD721134701,172,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GANSW718466885,31A,WARRI CRESCENT,,151.42417112,-33.49803458,MACMASTERS BEACH,2251,NSW,2
+,GANSW718466885,31A-A,WARRI CRESCENT,,151.42417112,-33.49803458,MACMASTERS BEACH,2251,NSW,2
-,GASA_721783798,LOT 670,LINCOLN HIGHWAY,,137.55408436,-32.92422935,CULTANA,5700,SA,2
+,GASA_721783798,LOT 670,LINCOLN HIGHWAY,,137.55408436,-32.92422935,CULTANA,5601,SA,2
-,GAQLD721182352,706,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD721182352,706,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GANSW718466198,146B,THE ESPLANADE,,151.32553985,-33.52323575,UMINA BEACH,2257,NSW,2
+,GANSW718466198,146B-B,THE ESPLANADE,,151.32553985,-33.52323575,UMINA BEACH,2257,NSW,2
-,GAQLD425251217,506,LAS VILLAGE,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425251217,506,LAS VILLAGE,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GANSW709313009,69,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,2787,NSW,4
+,GANSW709313009,69,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,,NSW,4
-,GANSW709313008,80,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,2787,NSW,4
+,GANSW709313008,80,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,,NSW,4
-,GAWA_162695309,8,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,6716,WA,4
+,GAWA_162695309,8,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,,WA,4
-,GAQLD425794963,817,GREENMOUNT - HIRSTVALE ROAD,,152.02872325,-27.81695580,ASCOT,4359,QLD,2
+,GAQLD425794963,817,GREENMOUNT - HIRSTVALE ROAD,,152.02872325,-27.81695580,ASCOT,4875,QLD,2
-,GAWA_163245619,LOT 50,LANDOR-MOUNT AUGUSTUS ROAD,UNIT 2,116.93298260,-24.76221616,EAST LYONS RIVER,6705,WA,4
+,GAWA_163245619,LOT 50,LANDOR-MOUNT AUGUSTUS ROAD,UNIT 2,116.93298260,-24.76221616,EAST LYONS RIVER,,WA,4
-,GAWA_148032107,3,CANE STREET,,116.32869438,-21.63815583,PANNAWONICA,6716,WA,4
+,GAWA_148032107,3,CANE STREET,,116.32869438,-21.63815583,PANNAWONICA,,WA,4
-,GANSW718460280,1A,KATEENA AVENUE,,151.31975047,-33.44920703,TASCOTT,2250,NSW,2
+,GANSW718460280,1A-A,KATEENA AVENUE,,151.31975047,-33.44920703,TASCOTT,2250,NSW,2
-,GASA_721594594,LOT 132,IRON KNOB ROAD,,137.33830852,-32.96988594,CULTANA,5700,SA,2
+,GASA_721594594,LOT 132,IRON KNOB ROAD,,137.33830852,-32.96988594,CULTANA,5601,SA,2
-,GAQLD425791813,696,AUBURN ROAD,,150.60870547,-26.67615140,RED HILL,4413,QLD,2
+,GAQLD425791813,696,AUBURN ROAD,,150.60870547,-26.67615140,RED HILL,4877,QLD,2
-,GAQLD425144557,25,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144557,25,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425797739,611,RED HILL ROAD,,150.64954723,-26.67344738,RED HILL,4413,QLD,2
+,GAQLD425797739,611,RED HILL ROAD,,150.64954723,-26.67344738,RED HILL,4877,QLD,2
-,GAQLD721692688,17,NAIGAR ROAD,,143.54801559,-9.50774155,UGAR ISLAND,4875,QLD,4
+,GAQLD721692688,17,NAIGAR ROAD,,143.54801559,-9.50774155,UGAR ISLAND,,QLD,4
-,GAWA_161040867,1,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,6716,WA,4
+,GAWA_161040867,1,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,,WA,4
-,GAQLD425382699,86,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425382699,86,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425050403,137,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425050403,137,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425796869,665,MOUNT SIBLEY ROAD,,151.96209531,-27.82245011,ASCOT,4359,QLD,4
+,GAQLD425796869,665,MOUNT SIBLEY ROAD,,151.96209531,-27.82245011,ASCOT,4875,QLD,4
-,GAQLD721581134,2,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD721581134,2,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GANSW721457734,3055,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,2787,NSW,4
+,GANSW721457734,3055,SCOTTS MAIN RANGE ROAD,,150.24881209,-33.98965990,KOWMUNG,,NSW,4
-,GANT_721282799,LOT 196,MEWA ROAD,,134.91963636,-12.10560573,MILINGIMBI,0822,NT,4
+,GANT_721282799,LOT 196,MEWA ROAD,,134.91963636,-12.10560573,MILINGIMBI,,NT,4
-,GAWA_721409409,20B,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,6716,WA,4
+,GAWA_721409409,20B,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,,WA,4
-,GAQLD425144564,34,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144564,34,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GANT_721555045,LOT 37,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,0822,NT,4
+,GANT_721555045,LOT 37,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,,NT,4
-,GAQLD425796866,528,MOUNT SIBLEY ROAD,,151.97507649,-27.84585142,ASCOT,4359,QLD,2
+,GAQLD425796866,528,MOUNT SIBLEY ROAD,,151.97507649,-27.84585142,ASCOT,4875,QLD,2
-,GAQLD425791809,2040,AUBURN ROAD,,150.60928953,-26.58011997,RED HILL,4413,QLD,2
+,GAQLD425791809,2040,AUBURN ROAD,,150.60928953,-26.58011997,RED HILL,4877,QLD,2
-,GANT_719398657,LOT 64,CENTRAL ARNHEM ROAD,,134.32017700,-13.65883000,BULMAN WEEMOL,0852,NT,4
+,GANT_719398657,LOT 64,CENTRAL ARNHEM ROAD,,134.32017700,-13.65883000,BULMAN WEEMOL,,NT,4
-,GANT_721347062,LOT 430,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,0852,NT,4
+,GANT_721347062,LOT 430,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,,NT,4
-,GANT_721347069,LOT 226,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,0822,NT,4
+,GANT_721347069,LOT 226,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,,NT,4
-,GANT_721282739,LOT 396,BALAMURRA STREET,,134.73144617,-14.73620250,NGUKURR,0852,NT,4
+,GANT_721282739,LOT 396,BALAMURRA STREET,,134.73144617,-14.73620250,NGUKURR,,NT,4
-,GANT_719398812,LOT 293,BALAMURRA STREET,,134.73144617,-14.73620250,NGUKURR,0852,NT,4
+,GANT_719398812,LOT 293,BALAMURRA STREET,,134.73144617,-14.73620250,NGUKURR,,NT,4
-,GANT_721347047,LOT 43,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,0822,NT,4
+,GANT_721347047,LOT 43,MADUMUNGUN ROAD,,134.92205892,-12.10625711,MILINGIMBI,,NT,4
-,GANT_719398753,LOT 93,NUMBULWAR ROAD,,135.71801957,-14.26917764,NUMBULWAR,0822,NT,4
+,GANT_719398753,LOT 93,NUMBULWAR ROAD,,135.71801957,-14.26917764,NUMBULWAR,,NT,4
-,GANT_721813187,LOT 212,MEWA ROAD,,134.91963636,-12.10560573,MILINGIMBI,0822,NT,4
+,GANT_721813187,LOT 212,MEWA ROAD,,134.91963636,-12.10560573,MILINGIMBI,,NT,4
-,GANT_721677985,LOT 475,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,0852,NT,4
+,GANT_721677985,LOT 475,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,,NT,4
-,GAQLD425144544,104,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144544,104,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GANT_721142407,LOT 401,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,0852,NT,4
+,GANT_721142407,LOT 401,MUTJU STREET,,134.73140324,-14.72796604,NGUKURR,,NT,4
-,GANT_718879246,LOT 53,WARRUWI INTERNAL,,133.38951303,-11.64914380,WARRUWI,0822,NT,4
+,GANT_718879246,LOT 53,WARRUWI INTERNAL,,133.38951303,-11.64914380,WARRUWI,,NT,4
-,GAWA_720111330,LOT 196,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,6716,WA,4
+,GAWA_720111330,LOT 196,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,,WA,4
-,GAWA_148047495,7,ROBE COURT,UNIT 3,116.32120042,-21.63780272,PANNAWONICA,6716,WA,4
+,GAWA_148047495,7,ROBE COURT,UNIT 3,116.32120042,-21.63780272,PANNAWONICA,,WA,4
-,GAQLD425791815,LOT 25,AUBURN ROAD,,150.59980658,-26.62054751,RED HILL,4413,QLD,2
+,GAQLD425791815,LOT 25,AUBURN ROAD,,150.59980658,-26.62054751,RED HILL,4877,QLD,2
-,GAWA_148016421,2,ROBE COURT,UNIT 3,116.32120042,-21.63780272,PANNAWONICA,6716,WA,4
+,GAWA_148016421,2,ROBE COURT,UNIT 3,116.32120042,-21.63780272,PANNAWONICA,,WA,4
-,GAQLD719172343,55A,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD719172343,55A,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425050408,143B,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425050408,143B,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425791812,650,AUBURN ROAD,,150.61883818,-26.67665884,RED HILL,4413,QLD,2
+,GAQLD425791812,650,AUBURN ROAD,,150.61883818,-26.67665884,RED HILL,4877,QLD,2
-,GAQLD425792439,792,BRAITHWAITES ROAD,,150.66211390,-26.59169426,RED HILL,4413,QLD,2
+,GAQLD425792439,792,BRAITHWAITES ROAD,,150.66211390,-26.59169426,RED HILL,4877,QLD,2
-,GAQLD425799034,LOT 96,SURCINGLE ROAD,,150.65601485,-26.66726068,RED HILL,4413,QLD,2
+,GAQLD425799034,LOT 96,SURCINGLE ROAD,,150.65601485,-26.66726068,RED HILL,4877,QLD,2
-,GAQLD425797737,385,RED HILL ROAD,,150.65744980,-26.68606202,RED HILL,4413,QLD,2
+,GAQLD425797737,385,RED HILL ROAD,,150.65744980,-26.68606202,RED HILL,4877,QLD,2
-,GAQLD719336745,717,MOUNT SIBLEY ROAD,,151.95313358,-27.82124096,ASCOT,4359,QLD,2
+,GAQLD719336745,717,MOUNT SIBLEY ROAD,,151.95313358,-27.82124096,ASCOT,4875,QLD,2
-,GAQLD719636274,156,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD719636274,156,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD720206779,59,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD720206779,59,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425251224,557,LAS VILLAGE,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425251224,557,LAS VILLAGE,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD719172441,88,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD719172441,88,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD719898381,80,NAIGAR ROAD,,143.54801559,-9.50774155,UGAR ISLAND,4875,QLD,4
+,GAQLD719898381,80,NAIGAR ROAD,,143.54801559,-9.50774155,UGAR ISLAND,,QLD,4
-,GAWA_148025386,34,PEEDAMULLA WAY,,116.32179571,-21.63504128,PANNAWONICA,6716,WA,4
+,GAWA_148025386,34,PEEDAMULLA WAY,,116.32179571,-21.63504128,PANNAWONICA,,WA,4
-,GAQLD425795321,718,HOLMES ROAD,,150.70327120,-26.66612901,RED HILL,4413,QLD,2
+,GAQLD425795321,718,HOLMES ROAD,,150.70327120,-26.66612901,RED HILL,4877,QLD,2
-,GAQLD720182381,LOT 1,CORALIE ROAD,,141.87416483,-18.23246797,CORALIE,4871,QLD,4
+,GAQLD720182381,LOT 1,CORALIE ROAD,,141.87416483,-18.23246797,CORALIE,,QLD,4
-,GAQLD425382694,108A,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425382694,108A,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425382695,10,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425382695,10,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425382697,6,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425382697,6,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425382698,72,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425382698,72,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAWA_148029176,6,FORTESCUE PLACE,,116.32742016,-21.63744614,PANNAWONICA,6716,WA,4
+,GAWA_148029176,6,FORTESCUE PLACE,,116.32742016,-21.63744614,PANNAWONICA,,WA,4
-,GAQLD425491088,15,ESPLANADE,,142.18732880,-9.95946941,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425491088,15,ESPLANADE,,142.18732880,-9.95946941,MABUIAG ISLAND,,QLD,4
-,GAQLD721643756,LOT 473,BALURGA ROAD,,142.43636678,-14.92501326,EDWARD RIVER,4892,QLD,4
+,GAQLD721643756,LOT 473,BALURGA ROAD,,142.43636678,-14.92501326,EDWARD RIVER,,QLD,4
-,GAQLD425144668,74,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425144668,74,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAQLD425144568,43,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144568,43,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425144549,18,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144549,18,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425144573,52A,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144573,52A,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425144586,66B,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144586,66B,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425382659,62,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425382659,62,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425144567,42,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144567,42,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425144581,63,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144581,63,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425796871,952,MOUNT SIBLEY ROAD,,152.01422275,-27.83089361,ASCOT,4359,QLD,2
+,GAQLD425796871,952,MOUNT SIBLEY ROAD,,152.01422275,-27.83089361,ASCOT,4875,QLD,2
-,GAQLD425050345,20,MAIN STREET,,142.19176641,-9.95260303,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425050345,20,MAIN STREET,,142.19176641,-9.95260303,MABUIAG ISLAND,,QLD,4
-,GAWA_162695293,18,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,6716,WA,4
+,GAWA_162695293,18,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,,WA,4
-,GAWA_161040868,22,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,6716,WA,4
+,GAWA_161040868,22,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,,WA,4
-,GAQLD720207081,87,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,4875,QLD,4
+,GAQLD720207081,87,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,,QLD,4
-,GAQLD719943321,128,BUTTS ROAD,,150.70509956,-26.64821014,RED HILL,4413,QLD,4
+,GAQLD719943321,128,BUTTS ROAD,,150.70509956,-26.64821014,RED HILL,4877,QLD,4
-,GAQLD721529210,77,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,4875,QLD,4
+,GAQLD721529210,77,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,,QLD,4
-,GAQLD425052130,74,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425052130,74,SCHOOL STREET,,142.18782377,-9.95504819,MABUIAG ISLAND,,QLD,4
-,GAQLD425794955,364,GREENMOUNT - HIRSTVALE ROAD,,151.98632907,-27.82635275,ASCOT,4359,QLD,2
+,GAQLD425794955,364,GREENMOUNT - HIRSTVALE ROAD,,151.98632907,-27.82635275,ASCOT,4875,QLD,2
-,GAQLD425796867,565,MOUNT SIBLEY ROAD,,151.96538129,-27.82263878,ASCOT,4359,QLD,2
+,GAQLD425796867,565,MOUNT SIBLEY ROAD,,151.96538129,-27.82263878,ASCOT,4875,QLD,2
-,GAQLD425795325,LOT 1,HOLMES ROAD,,150.68457920,-26.69097609,RED HILL,4413,QLD,2
+,GAQLD425795325,LOT 1,HOLMES ROAD,,150.68457920,-26.69097609,RED HILL,4877,QLD,2
-,GAQLD425144569,50,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD425144569,50,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GAQLD425795317,629,HOLMES ROAD,,150.69509937,-26.66595070,RED HILL,4413,QLD,2
+,GAQLD425795317,629,HOLMES ROAD,,150.69509937,-26.66595070,RED HILL,4877,QLD,2
-,GAQLD425797743,838,RED HILL ROAD,,150.67765314,-26.65813179,RED HILL,4413,QLD,2
+,GAQLD425797743,838,RED HILL ROAD,,150.67765314,-26.65813179,RED HILL,4877,QLD,2
