diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
-,GANSW718463346,67A,OLD GOSFORD ROAD,,151.43606941,-33.42418709,WAMBERAL,2260,NSW,2
+,GANSW718463346,67A-A,OLD GOSFORD ROAD,,151.43606941,-33.42418709,WAMBERAL,2260,NSW,2
-,GANSW718463347,79A,OLD GOSFORD ROAD,,151.43478841,-33.42480832,WAMBERAL,2260,NSW,2
+,GANSW718463347,79A-A,OLD GOSFORD ROAD,,151.43478841,-33.42480832,WAMBERAL,2260,NSW,2
-,GANSW718461341,164A,MANN STREET,,151.34187216,-33.42546023,GOSFORD,2250,NSW,2
+,GANSW718461341,164A-A,MANN STREET,,151.34187216,-33.42546023,GOSFORD,2250,NSW,2
-,GAWA_148029193,24B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148029193,24B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718465371,50A,SHERWOOD DRIVE,,151.37123750,-33.42908283,SPRINGFIELD,2250,NSW,2
+,GANSW718465371,50A-A,SHERWOOD DRIVE,,151.37123750,-33.42908283,SPRINGFIELD,2250,NSW,2
-,GANSW718962065,484,AVON DAM ROAD,,150.63118910,-34.34391225,AVON,2574,NSW,4
+,GANSW718962065,484,AVON DAM ROAD,,150.63118910,-34.34391225,AVON,,NSW,4
-,GAWA_162337527,196,BOOTOO ROAD,,115.33878383,-30.85983997,WEDGE ISLAND,6044,WA,4
+,GAWA_162337527,196,BOOTOO ROAD,,115.33878383,-30.85983997,WEDGE ISLAND,,WA,4
-,GANSW718463626,15A,PAPERBARK CLOSE,,151.36870553,-33.40519988,WYOMING,2250,NSW,2
+,GANSW718463626,15A-A,PAPERBARK CLOSE,,151.36870553,-33.40519988,WYOMING,2250,NSW,2
-,GANSW718463627,15C,PAPERBARK CLOSE,,151.36909726,-33.40477502,WYOMING,2250,NSW,2
+,GANSW718463627,15C-C,PAPERBARK CLOSE,,151.36909726,-33.40477502,WYOMING,2250,NSW,2
-,GANSW718455989,28A,CARMEL CRESCENT,,151.28757838,-33.43658030,KARIONG,2250,NSW,2
+,GANSW718455989,28A-A,CARMEL CRESCENT,,151.28757838,-33.43658030,KARIONG,2250,NSW,2
-,GAWA_148032108,2A,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_148032108,2A,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GAWA_148025542,23A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148025542,23A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW717214529,200,HICKMANS ROAD,,152.44119323,-31.82115817,YARRATT FOREST,2429,NSW,4
+,GANSW717214529,200,HICKMANS ROAD,,152.44119323,-31.82115817,YARRATT FOREST,,NSW,4
-,GANSW718561171,55A,HELMSMAN BOULEVARD,,151.34736784,-33.49634228,ST HUBERTS ISLAND,2257,NSW,2
+,GANSW718561171,55A-A,HELMSMAN BOULEVARD,,151.34736784,-33.49634228,ST HUBERTS ISLAND,2257,NSW,2
-,GAWA_148017315,6,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148017315,6,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAWA_148016422,1,GASCOYNE COURT,UNIT 7,116.32145594,-21.63844269,PANNAWONICA,6716,WA,4
+,GAWA_148016422,1,GASCOYNE COURT,UNIT 7,116.32145594,-21.63844269,PANNAWONICA,,WA,4
-,GANSW718465441,10A,SORRENTO ROAD,,151.36272590,-33.49305876,EMPIRE BAY,2257,NSW,2
+,GANSW718465441,10A-A,SORRENTO ROAD,,151.36272590,-33.49305876,EMPIRE BAY,2257,NSW,2
-,GANSW718561279,51A,HILLCREST STREET,,151.43421891,-33.44458869,TERRIGAL,2260,NSW,2
+,GANSW718561279,51A-A,HILLCREST STREET,,151.43421891,-33.44458869,TERRIGAL,2260,NSW,2
-,GAWA_148009684,16C,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148009684,16C,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718555875,1A,BURRAWANG STREET,,151.32995557,-33.51953420,ETTALONG BEACH,2257,NSW,2
+,GANSW718555875,1A-A,BURRAWANG STREET,,151.32995557,-33.51953420,ETTALONG BEACH,2257,NSW,2
-,GANSW718561242,4A,HIGH STREET,,151.35762658,-33.47710758,SARATOGA,2251,NSW,2
+,GANSW718561242,4A-A,HIGH STREET,,151.35762658,-33.47710758,SARATOGA,2251,NSW,2
-,GAWA_148009899,3B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148009899,3B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148005932,19,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148005932,19,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718457830,7A,FAIRSCENE CRESCENT,,151.43563238,-33.47516353,AVOCA BEACH,2251,NSW,2
+,GANSW718457830,7A-A,FAIRSCENE CRESCENT,,151.43563238,-33.47516353,AVOCA BEACH,2251,NSW,2
-,GAWA_148010607,16,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148010607,16,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148033814,1D,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,6716,WA,4
+,GAWA_148033814,1D,YANNARIE STREET,,116.32730176,-21.63818064,PANNAWONICA,,WA,4
-,GAWA_148025656,2A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148025656,2A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718554329,327A,AVOCA DRIVE,,151.35665569,-33.46171428,GREEN POINT,2251,NSW,2
+,GANSW718554329,327A-A,AVOCA DRIVE,,151.35665569,-33.46171428,GREEN POINT,2251,NSW,2
-,GAQLD425418027,31A,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418027,31A,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAQLD425418024,25,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418024,25,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148032097,4,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148032097,4,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718460486,64B,KURRAWYBA AVENUE,,151.44233386,-33.45179718,TERRIGAL,2260,NSW,2
+,GANSW718460486,64B-B,KURRAWYBA AVENUE,,151.44233386,-33.45179718,TERRIGAL,2260,NSW,2
-,GANSW718456468,141A,COPACABANA DRIVE,,151.42706187,-33.48979855,COPACABANA,2251,NSW,2
+,GANSW718456468,141A-A,COPACABANA DRIVE,,151.42706187,-33.48979855,COPACABANA,2251,NSW,2
-,GANSW718456469,177A,COPACABANA DRIVE,,151.42452350,-33.48827246,COPACABANA,2251,NSW,2
+,GANSW718456469,177A-A,COPACABANA DRIVE,,151.42452350,-33.48827246,COPACABANA,2251,NSW,2
-,GANSW718456470,44A,COPACABANA DRIVE,,151.43160906,-33.48548642,COPACABANA,2251,NSW,2
+,GANSW718456470,44A-A,COPACABANA DRIVE,,151.43160906,-33.48548642,COPACABANA,2251,NSW,2
-,GAQLD721693589,39,BANI ROAD,,142.19307328,-9.95295155,MABUIAG ISLAND,4875,QLD,4
+,GAQLD721693589,39,BANI ROAD,,142.19307328,-9.95295155,MABUIAG ISLAND,,QLD,4
-,GANSW720546537,4,BADEN POWELL DRIVE,,150.82222416,-34.25076819,CATARACT,2560,NSW,4
+,GANSW720546537,4,BADEN POWELL DRIVE,,150.82222416,-34.25076819,CATARACT,,NSW,4
-,GAWA_148013632,23,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148013632,23,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GAWA_148018911,13,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148018911,13,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148033036,31A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148033036,31A,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718464668,22A,RENWICK STREET,,151.35248528,-33.40303036,WYOMING,2250,NSW,2
+,GANSW718464668,22A-A,RENWICK STREET,,151.35248528,-33.40303036,WYOMING,2250,NSW,2
-,GAWA_148005224,7,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148005224,7,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718455314,30A,BREAM ROAD,,151.33793998,-33.51290584,ETTALONG BEACH,2257,NSW,2
+,GANSW718455314,30A-A,BREAM ROAD,,151.33793998,-33.51290584,ETTALONG BEACH,2257,NSW,2
-,GANSW718562640,28A,LLEWELLYN STREET,,151.36133251,-33.47459684,SARATOGA,2251,NSW,2
+,GANSW718562640,28A-A,LLEWELLYN STREET,,151.36133251,-33.47459684,SARATOGA,2251,NSW,2
-,GAQLD425418026,27,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418026,27,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148016425,23B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148016425,23B,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718463427,10A,OSBORNE AVENUE,,151.31538890,-33.52098828,UMINA BEACH,2257,NSW,2
+,GANSW718463427,10A-A,OSBORNE AVENUE,,151.31538890,-33.52098828,UMINA BEACH,2257,NSW,2
-,GAWA_148032906,21A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,6716,WA,4
+,GAWA_148032906,21A,MILLSTREAM WAY,,116.32223586,-21.63710216,PANNAWONICA,,WA,4
-,GANSW718609857,110,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,2787,NSW,4
+,GANSW718609857,110,GURNANG ROAD,,149.83065577,-34.01476556,GURNANG,,NSW,4
-,GAQLD425418036,58,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,4875,QLD,4
+,GAQLD425418036,58,WARRIA ROAD,,142.19369119,-9.95210851,MABUIAG ISLAND,,QLD,4
-,GAWA_148033032,2,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,6716,WA,4
+,GAWA_148033032,2,ASHBURTON WAY,,116.32266238,-21.63845159,PANNAWONICA,,WA,4
-,GAWA_148008792,23B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148008792,23B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GAWA_148010736,2B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,6716,WA,4
+,GAWA_148010736,2B,HARDING STREET,,116.32752411,-21.63673870,PANNAWONICA,,WA,4
-,GANSW718457522,23A,EDWARD STREET,UNIT 1,151.32481167,-33.49195961,WOY WOY,2256,NSW,2
+,GANSW718457522,23A-A,EDWARD STREET,UNIT 1,151.32481167,-33.49195961,WOY WOY,2256,NSW,2
-,GANSW718456372,10B,COMO PARADE,,151.34921900,-33.52821395,PRETTY BEACH,2257,NSW,2
